Song,Measure,Week,Issue,File Path
Althea,listeners,20241227,Missing CSV,parsed csvs/listeners_by_city_1748029276_20241227.csv
Althea,listeners,20241220,Missing CSV,parsed csvs/listeners_by_city_1748029276_20241220.csv
Althea,listeners,20241213,Missing CSV,parsed csvs/listeners_by_city_1748029276_20241213.csv
Althea,listeners,20241206,Missing CSV,parsed csvs/listeners_by_city_1748029276_20241206.csv
Althea,listeners,20241129,Missing CSV,parsed csvs/listeners_by_city_1748029276_20241129.csv
Althea,listeners,20241122,Missing CSV,parsed csvs/listeners_by_city_1748029276_20241122.csv
Althea,listeners,20241115,Missing CSV,parsed csvs/listeners_by_city_1748029276_20241115.csv
Althea,listeners,20241108,Missing CSV,parsed csvs/listeners_by_city_1748029276_20241108.csv
Althea,listeners,20241101,Missing CSV,parsed csvs/listeners_by_city_1748029276_20241101.csv
Althea,listeners,20241025,Missing CSV,parsed csvs/listeners_by_city_1748029276_20241025.csv
Althea,listeners,20241018,Missing CSV,parsed csvs/listeners_by_city_1748029276_20241018.csv
Althea,listeners,20241011,Missing CSV,parsed csvs/listeners_by_city_1748029276_20241011.csv
Althea,listeners,20241004,Missing CSV,parsed csvs/listeners_by_city_1748029276_20241004.csv
Althea,listeners,20240927,Missing CSV,parsed csvs/listeners_by_city_1748029276_20240927.csv
Althea,listeners,20240920,Missing CSV,parsed csvs/listeners_by_city_1748029276_20240920.csv
Althea,listeners,20240913,Missing CSV,parsed csvs/listeners_by_city_1748029276_20240913.csv
Althea,listeners,20240906,Missing CSV,parsed csvs/listeners_by_city_1748029276_20240906.csv
Althea,listeners,20240830,Missing CSV,parsed csvs/listeners_by_city_1748029276_20240830.csv
Althea,listeners,20240823,Missing CSV,parsed csvs/listeners_by_city_1748029276_20240823.csv
Althea,listeners,20240816,Missing CSV,parsed csvs/listeners_by_city_1748029276_20240816.csv
Althea,listeners,20240809,Missing CSV,parsed csvs/listeners_by_city_1748029276_20240809.csv
Althea,listeners,20240802,Missing CSV,parsed csvs/listeners_by_city_1748029276_20240802.csv
Althea,listeners,20240726,Missing CSV,parsed csvs/listeners_by_city_1748029276_20240726.csv
Althea,listeners,20240719,Missing CSV,parsed csvs/listeners_by_city_1748029276_20240719.csv
Althea,listeners,20240712,Missing CSV,parsed csvs/listeners_by_city_1748029276_20240712.csv
Althea,listeners,20240705,Missing CSV,parsed csvs/listeners_by_city_1748029276_20240705.csv
Althea,listeners,20240628,Missing CSV,parsed csvs/listeners_by_city_1748029276_20240628.csv
Althea,listeners,20240621,Missing CSV,parsed csvs/listeners_by_city_1748029276_20240621.csv
What Home Is,listeners,20250418,Missing CSV,parsed csvs/listeners_by_city_1711474234_20250418.csv
What Home Is,listeners,20250411,Missing CSV,parsed csvs/listeners_by_city_1711474234_20250411.csv
What Home Is,listeners,20250404,Missing CSV,parsed csvs/listeners_by_city_1711474234_20250404.csv
What Home Is,listeners,20250328,Missing CSV,parsed csvs/listeners_by_city_1711474234_20250328.csv
What Home Is,listeners,20250321,Missing CSV,parsed csvs/listeners_by_city_1711474234_20250321.csv
What Home Is,listeners,20250314,Missing CSV,parsed csvs/listeners_by_city_1711474234_20250314.csv
What Home Is,listeners,20250307,Missing CSV,parsed csvs/listeners_by_city_1711474234_20250307.csv
What Home Is,listeners,20250228,Missing CSV,parsed csvs/listeners_by_city_1711474234_20250228.csv
What Home Is,listeners,20250221,Missing CSV,parsed csvs/listeners_by_city_1711474234_20250221.csv
What Home Is,listeners,20250214,Missing CSV,parsed csvs/listeners_by_city_1711474234_20250214.csv
What Home Is,listeners,20250207,Missing CSV,parsed csvs/listeners_by_city_1711474234_20250207.csv
What Home Is,listeners,20250131,Missing CSV,parsed csvs/listeners_by_city_1711474234_20250131.csv
What Home Is,listeners,20250124,Missing CSV,parsed csvs/listeners_by_city_1711474234_20250124.csv
What Home Is,listeners,20250117,Missing CSV,parsed csvs/listeners_by_city_1711474234_20250117.csv
What Home Is,listeners,20250110,Missing CSV,parsed csvs/listeners_by_city_1711474234_20250110.csv
What Home Is,listeners,20250103,Missing CSV,parsed csvs/listeners_by_city_1711474234_20250103.csv
What Home Is,listeners,20241227,Missing CSV,parsed csvs/listeners_by_city_1711474234_20241227.csv
What Home Is,listeners,20241220,Missing CSV,parsed csvs/listeners_by_city_1711474234_20241220.csv
What Home Is,listeners,20241213,Missing CSV,parsed csvs/listeners_by_city_1711474234_20241213.csv
What Home Is,listeners,20241206,Missing CSV,parsed csvs/listeners_by_city_1711474234_20241206.csv
What Home Is,listeners,20241129,Missing CSV,parsed csvs/listeners_by_city_1711474234_20241129.csv
What Home Is,listeners,20241122,Missing CSV,parsed csvs/listeners_by_city_1711474234_20241122.csv
What Home Is,listeners,20241115,Missing CSV,parsed csvs/listeners_by_city_1711474234_20241115.csv
What Home Is,listeners,20241108,Missing CSV,parsed csvs/listeners_by_city_1711474234_20241108.csv
